mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-16,-0.001302271,2.13E-06,-16,-0.002704722,9.05E-07,-16,-0.004078935,1.13E-06,-16,-0.005463408,0.000102664,-16,-0.006832487,5.58E-07,-16,-0.008198983,5.28E-07,-16,-0.009575635,4.20E-07,-16,-0.010975112,6.63E-06,-16,-0.012321123,4.20E-07,-16,-0.013677267,3.42E-07,-16,-0.015043469,5.14E-07,-16,-0.016369201,2.45E-06,-16,-0.017692449,3.59E-07,-16,-0.019063474,3.28E-07,-16,-0.02044436,3.91E-07,-16,-0.021772448,8.33E-07,-16,-0.023135477,3.38E-07,-16,-0.02449582,3.28E-07,-16,-0.025816148,3.70E-07,-16,-0.027133945,4.56E-07
-15.5,-0.001264306,2.16E-06,-15.5,-0.00261331,1.05E-06,-15.5,-0.003959779,9.95E-07,-15.5,-0.005278781,9.61E-05,-15.5,-0.006620076,6.14E-07,-15.5,-0.007933982,5.68E-07,-15.5,-0.009270043,3.59E-07,-15.5,-0.010628182,6.11E-06,-15.5,-0.011922043,4.62E-07,-15.5,-0.013237987,3.72E-07,-15.5,-0.014563609,3.93E-07,-15.5,-0.015837644,2.62E-06,-15.5,-0.017133665,3.62E-07,-15.5,-0.018463717,3.38E-07,-15.5,-0.01979108,3.85E-07,-15.5,-0.021067193,1.02E-06,-15.5,-0.022389276,3.47E-07,-15.5,-0.023708671,3.43E-07,-15.5,-0.024989169,3.64E-07,-15.5,-0.026255075,4.95E-07
-15,-0.00121412,2.49E-06,-15,-0.002534554,1.24E-06,-15,-0.003828243,9.07E-07,-15,-0.005119366,8.63E-05,-15,-0.006407916,5.89E-07,-15,-0.007681876,7.49E-07,-15,-0.008965251,3.42E-07,-15,-0.010281949,5.30E-06,-15,-0.011536247,4.19E-07,-15,-0.012811869,3.84E-07,-15,-0.014084902,3.48E-07,-15,-0.015319757,2.34E-06,-15,-0.016563999,3.76E-07,-15,-0.017853001,3.63E-07,-15,-0.019139307,3.28E-07,-15,-0.020375863,9.40E-07,-15,-0.021656878,3.59E-07,-15,-0.022923482,3.64E-07,-15,-0.024164054,3.32E-07,-15,-0.025390407,4.64E-07
-14.5,-0.001176343,2.58E-06,-14.5,-0.002443882,1.41E-06,-14.5,-0.003697168,7.65E-07,-14.5,-0.004936208,7.14E-05,-14.5,-0.006184368,6.28E-07,-14.5,-0.007418311,8.20E-07,-14.5,-0.008661316,3.49E-07,-14.5,-0.009924891,4.22E-06,-14.5,-0.01113955,4.20E-07,-14.5,-0.012374776,4.55E-07,-14.5,-0.013607384,3.16E-07,-14.5,-0.014802966,1.21E-06,-14.5,-0.016007553,3.63E-07,-14.5,-0.01725538,4.11E-07,-14.5,-0.018489097,3.26E-07,-14.5,-0.019686003,5.10E-07,-14.5,-0.020925852,3.36E-07,-14.5,-0.022151662,3.41E-07,-14.5,-0.023340877,3.22E-07,-14.5,-0.024527581,3.46E-07
-14,-0.001138476,2.68E-06,-14,-0.002365125,1.62E-06,-14,-0.00356657,6.92E-07,-14,-0.004776784,5.81E-05,-14,-0.005973136,5.99E-07,-14,-0.007166943,7.59E-07,-14,-0.00836943,3.95E-07,-14,-0.00958052,2.78E-06,-14,-0.010755428,3.96E-07,-14,-0.011950141,4.67E-07,-14,-0.013131103,3.54E-07,-14,-0.01428732,5.47E-07,-14,-0.015452158,3.29E-07,-14,-0.01664766,4.33E-07,-14,-0.017840506,4.03E-07,-14,-0.018997672,4.01E-07,-14,-0.020185278,3.24E-07,-14,-0.021381184,3.63E-07,-14,-0.022519707,3.72E-07,-14,-0.023666676,3.60E-07
-13.5,-0.001100522,2.64E-06,-13.5,-0.002275221,1.62E-06,-13.5,-0.0034474,5.84E-07,-13.5,-0.004606078,4.62E-05,-13.5,-0.005762209,5.97E-07,-13.5,-0.00691579,8.76E-07,-13.5,-0.008066818,5.25E-07,-13.5,-0.009247735,1.77E-06,-13.5,-0.010371981,3.75E-07,-13.5,-0.011515318,4.87E-07,-13.5,-0.012666846,4.21E-07,-13.5,-0.01377286,5.20E-07,-13.5,-0.014897863,3.31E-07,-13.5,-0.016052385,3.71E-07,-13.5,-0.017204246,4.20E-07,-13.5,-0.018310929,6.89E-07,-13.5,-0.019457564,3.36E-07,-13.5,-0.020601535,3.36E-07,-13.5,-0.021711173,4.18E-07,-13.5,-0.022818293,4.73E-07
-13,-0.001051875,2.42E-06,-13,-0.00219649,1.76E-06,-13,-0.003317405,4.92E-07,-13,-0.004435779,2.78E-05,-13,-0.005551602,5.31E-07,-13,-0.006654379,8.34E-07,-13,-0.007765111,6.77E-07,-13,-0.008904608,1.62E-06,-13,-0.00998931,3.49E-07,-13,-0.011092334,4.86E-07,-13,-0.012192793,5.50E-07,-13,-0.013269979,1.26E-06,-13,-0.014344713,3.34E-07,-13,-0.015458167,3.61E-07,-13,-0.016558683,4.31E-07,-13,-0.017636082,1.16E-06,-13,-0.018741634,3.28E-07,-13,-0.019834318,3.28E-07,-13,-0.020904028,3.74E-07,-13,-0.021961064,6.25E-07
-12.5,-0.001014138,2.46E-06,-12.5,-0.002107388,2.12E-06,-12.5,-0.00318792,4.79E-07,-12.5,-0.004265906,1.79E-05,-12.5,-0.005341335,5.07E-07,-12.5,-0.006404093,7.31E-07,-12.5,-0.007474421,7.37E-07,-12.5,-0.008562305,2.43E-06,-12.5,-0.00960738,3.32E-07,-12.5,-0.010670008,4.29E-07,-12.5,-0.011730067,6.39E-07,-12.5,-0.012757663,2.96E-06,-12.5,-0.013792758,3.51E-07,-12.5,-0.01486506,3.40E-07,-12.5,-0.015924798,3.81E-07,-12.5,-0.01696218,1.52E-06,-12.5,-0.018016721,3.37E-07,-12.5,-0.019068639,3.34E-07,-12.5,-0.020088547,3.26E-07,-12.5,-0.021115744,5.09E-07
-12,-0.000976323,2.41E-06,-12,-0.002028711,2.40E-06,-12,-0.003068754,4.34E-07,-12,-0.004096469,1.00E-05,-12,-0.005131423,5.14E-07,-12,-0.006154084,6.91E-07,-12,-0.007183926,9.00E-07,-12,-0.008220877,3.92E-06,-12,-0.009226244,3.43E-07,-12,-0.010248397,4.20E-07,-12,-0.011267975,5.95E-07,-12,-0.012256232,4.56E-06,-12,-0.013251602,4.88E-07,-12,-0.01427311,3.54E-07,-12,-0.015291993,3.31E-07,-12,-0.016279791,1.25E-06,-12,-0.017302952,3.60E-07,-12,-0.018313998,4.09E-07,-12,-0.019294178,3.30E-07,-12,-0.020271872,3.64E-07
-11.5,-0.000938434,2.68E-06,-11.5,-0.001949879,2.70E-06,-11.5,-0.002939936,4.22E-07,-11.5,-0.003927487,1.13E-05,-11.5,-0.004921886,5.07E-07,-11.5,-0.005895025,6.23E-07,-11.5,-0.006884328,9.01E-07,-11.5,-0.007889649,5.86E-06,-11.5,-0.008845935,3.48E-07,-11.5,-0.009827534,3.56E-07,-11.5,-0.010797332,5.55E-07,-11.5,-0.011746197,4.78E-06,-11.5,-0.012701803,4.56E-07,-11.5,-0.013682382,3.80E-07,-11.5,-0.014660328,3.13E-07,-11.5,-0.015608335,7.07E-07,-11.5,-0.016581083,3.36E-07,-11.5,-0.017551206,3.95E-07,-11.5,-0.018491606,3.96E-07,-11.5,-0.019429517,3.99E-07
-11,-0.000891394,2.88E-06,-11,-0.00186184,2.53E-06,-11,-0.002811662,4.82E-07,-11,-0.00376798,2.08E-05,-11,-0.004712739,4.81E-07,-11,-0.00564601,5.31E-07,-11,-0.006594675,8.35E-07,-11,-0.007549673,6.74E-06,-11,-0.008475376,3.86E-07,-11,-0.009407457,3.27E-07,-11,-0.010337005,5.35E-07,-11,-0.011246383,4.30E-06,-11,-0.012153323,4.48E-07,-11,-0.013101666,4.97E-07,-11,-0.014029837,3.69E-07,-11,-0.014937981,3.79E-07,-11,-0.015869721,3.00E-07,-11,-0.016798815,3.83E-07,-11,-0.017690693,4.23E-07,-11,-0.018588749,6.33E-07
-10.5,-0.000853749,3.15E-06,-10.5,-0.001783102,2.77E-06,-10.5,-0.002692591,7.81E-07,-10.5,-0.00359956,3.81E-05,-10.5,-0.004504003,5.49E-07,-10.5,-0.005397335,4.66E-07,-10.5,-0.006305288,8.60E-07,-10.5,-0.007219186,6.19E-06,-10.5,-0.008096432,3.75E-07,-10.5,-0.008988198,3.34E-07,-10.5,-0.009877427,3.94E-07,-10.5,-0.010747249,2.79E-06,-10.5,-0.01161463,4.08E-07,-10.5,-0.012513103,4.73E-07,-10.5,-0.01340894,4.38E-07,-10.5,-0.014268791,4.20E-07,-10.5,-0.015159446,3.39E-07,-10.5,-0.016039171,3.15E-07,-10.5,-0.016899777,4.13E-07,-10.5,-0.017757886,8.54E-07
-10,-0.000816039,2.78E-06,-10,-0.001695939,3.26E-06,-10,-0.002573315,6.85E-07,-10,-0.003431637,7.82E-05,-10,-0.00429569,5.95E-07,-10,-0.005149016,3.98E-07,-10,-0.006008021,6.68E-07,-10,-0.006888919,6.38E-06,-10,-0.007718411,3.75E-07,-10,-0.00857789,3.42E-07,-10,-0.009418635,3.52E-07,-10,-0.010240788,1.31E-06,-10,-0.01107659,3.99E-07,-10,-0.011925897,4.48E-07,-10,-0.012780584,4.67E-07,-10,-0.013600825,1.10E-06,-10,-0.014450323,3.56E-07,-10,-0.015297177,3.39E-07,-10,-0.016101994,3.55E-07,-10,-0.016920115,6.50E-07
-9.5,-0.000778267,2.94E-06,-9.5,-0.00161732,3.40E-06,-9.5,-0.002445962,7.63E-07,-9.5,-0.003272077,0.000130187,-9.5,-0.004087823,7.28E-07,-9.5,-0.004901077,3.90E-07,-9.5,-0.005719619,5.84E-07,-9.5,-0.006551139,4.52E-06,-9.5,-0.007349076,4.09E-07,-9.5,-0.008159988,3.85E-07,-9.5,-0.008968352,3.12E-07,-9.5,-0.00974352,3.56E-07,-9.5,-0.010539249,3.29E-07,-9.5,-0.011347708,3.99E-07,-9.5,-0.012153569,4.82E-07,-9.5,-0.0129417,1.57E-06,-9.5,-0.013742413,3.58E-07,-9.5,-0.014540526,3.68E-07,-9.5,-0.015321053,3.23E-07,-9.5,-0.016091607,4.10E-07
-9,-0.000740436,3.09E-06,-9,-0.001538578,3.73E-06,-9,-0.002319195,9.25E-07,-9,-0.003104797,0.000182308,-9,-0.00388786,8.08E-07,-9,-0.004653534,4.15E-07,-9,-0.005431556,4.71E-07,-9,-0.006221775,2.67E-06,-9,-0.006979955,3.80E-07,-9,-0.007743007,3.90E-07,-9,-0.008510858,3.62E-07,-9,-0.00925433,8.46E-07,-9,-0.010002648,3.18E-07,-9,-0.010770197,3.42E-07,-9,-0.011535146,4.49E-07,-9,-0.012275952,1.56E-06,-9,-0.013042926,4.00E-07,-9,-0.013800117,3.70E-07,-9,-0.014526276,4.20E-07,-9,-0.015264191,4.40E-07
-8.5,-0.000702548,2.86E-06,-8.5,-0.001459719,4.12E-06,-8.5,-0.002200131,1.18E-06,-8.5,-0.002938055,0.000283303,-8.5,-0.003673483,8.59E-07,-8.5,-0.004406411,5.11E-07,-8.5,-0.005143849,3.88E-07,-8.5,-0.005892711,1.93E-06,-8.5,-0.006604112,3.64E-07,-8.5,-0.00733392,4.10E-07,-8.5,-0.008061177,4.75E-07,-8.5,-0.008758317,2.51E-06,-8.5,-0.009466831,3.58E-07,-8.5,-0.010193413,3.34E-07,-8.5,-0.01091739,3.44E-07,-8.5,-0.011618382,1.22E-06,-8.5,-0.012337223,3.58E-07,-8.5,-0.013053457,4.01E-07,-8.5,-0.013746925,5.07E-07,-8.5,-0.014437949,8.61E-07
-8,-0.000664607,3.23E-06,-8,-0.001380749,4.08E-06,-8,-0.0020809,1.46E-06,-8,-0.002778559,0.00049018,-8,-0.003473718,9.48E-07,-8,-0.004166374,6.76E-07,-8,-0.004856526,3.61E-07,-8,-0.005557372,3.34E-06,-8,-0.006235888,3.41E-07,-8,-0.00692505,4.12E-07,-8,-0.007605128,5.89E-07,-8,-0.008269691,5.31E-06,-8,-0.008931841,3.82E-07,-8,-0.0096174,4.14E-07,-8,-0.010300352,3.37E-07,-8,-0.010955069,8.25E-07,-8,-0.011632925,3.51E-07,-8,-0.012308148,3.69E-07,-8,-0.012961761,5.22E-07,-8,-0.013612911,1.38E-06
-7.5,-0.000626615,3.06E-06,-7.5,-0.001295316,3.77E-06,-7.5,-0.001955176,1.52E-06,-7.5,-0.002612541,0.000544599,-7.5,-0.003267403,1.03E-06,-7.5,-0.003913498,8.98E-07,-7.5,-0.004569606,3.55E-07,-7.5,-0.005235583,8.30E-06,-7.5,-0.005867966,3.24E-07,-7.5,-0.006510263,4.38E-07,-7.5,-0.007150049,6.81E-07,-7.5,-0.007775093,6.78E-06,-7.5,-0.008397721,4.28E-07,-7.5,-0.009042205,4.99E-07,-7.5,-0.009684079,3.85E-07,-7.5,-0.010299288,5.37E-07,-7.5,-0.010936037,3.37E-07,-7.5,-0.011570175,3.42E-07,-7.5,-0.012177916,4.88E-07,-7.5,-0.012795084,1.38E-06
-7,-0.000588576,2.93E-06,-7,-0.001216529,3.76E-06,-7,-0.001830081,2.25E-06,-7,-0.002447102,0.000622017,-7,-0.003061616,1.09E-06,-7,-0.003673621,1.09E-06,-7,-0.004283116,4.21E-07,-7,-0.004901748,1.68E-05,-7,-0.005494572,3.28E-07,-7,-0.006102306,4.45E-07,-7,-0.006701728,6.32E-07,-7,-0.007281454,6.25E-06,-7,-0.007864513,4.19E-07,-7,-0.008467873,4.82E-07,-7,-0.00906862,4.91E-07,-7,-0.009644231,6.14E-07,-7,-0.010239849,3.07E-07,-7,-0.010832854,3.32E-07,-7,-0.011401012,4.13E-07,-7,-0.011972283,7.87E-07
-6.5,-0.000550491,3.13E-06,-6.5,-0.001132071,4.68E-06,-6.5,-0.001711179,2.37E-06,-6.5,-0.002287784,0.000726593,-6.5,-0.00286188,1.25E-06,-6.5,-0.00342798,1.29E-06,-6.5,-0.004002536,6.28E-07,-6.5,-0.004579964,3.16E-05,-6.5,-0.005133171,3.62E-07,-6.5,-0.005694695,4.04E-07,-6.5,-0.006253704,6.13E-07,-6.5,-0.006794179,4.32E-06,-6.5,-0.007337598,3.78E-07,-6.5,-0.007899762,5.24E-07,-6.5,-0.008454045,5.61E-07,-6.5,-0.008990034,7.53E-07,-6.5,-0.009544474,3.42E-07,-6.5,-0.010096298,3.20E-07,-6.5,-0.010624828,3.47E-07,-6.5,-0.011150935,3.97E-07
-6,-0.000507149,2.99E-06,-6,-0.001053494,4.75E-06,-6,-0.001592147,2.78E-06,-6,-0.002128293,0.000760542,-6,-0.002661927,1.30E-06,-6,-0.003182856,1.72E-06,-6,-0.003711509,8.02E-07,-6,-0.004247739,4.88E-05,-6,-0.004761265,3.87E-07,-6,-0.005282366,3.62E-07,-6,-0.00580095,5.11E-07,-6,-0.006307115,2.28E-06,-6,-0.006810857,3.63E-07,-6,-0.007331785,4.19E-07,-6,-0.007845237,6.15E-07,-6,-0.00834154,6.20E-07,-6,-0.008849909,3.37E-07,-6,-0.009360512,3.67E-07,-6,-0.009849374,3.62E-07,-6,-0.010335811,4.32E-07
-5.5,-0.000469373,2.87E-06,-5.5,-0.000974837,4.71E-06,-5.5,-0.001472993,3.12E-06,-5.5,-0.001968639,0.000919201,-5.5,-0.00245704,1.23E-06,-5.5,-0.002942974,2.03E-06,-5.5,-0.003431119,1.10E-06,-5.5,-0.00392606,6.91E-05,-5.5,-0.004399864,4.09E-07,-5.5,-0.004880468,3.97E-07,-5.5,-0.005358533,3.89E-07,-5.5,-0.005815835,5.93E-07,-5.5,-0.006279881,3.67E-07,-5.5,-0.006759556,3.49E-07,-5.5,-0.007236612,4.66E-07,-5.5,-0.007693192,5.29E-07,-5.5,-0.008160666,3.26E-07,-5.5,-0.00862557,3.64E-07,-5.5,-0.009074727,4.23E-07,-5.5,-0.009521458,9.74E-07
-5,-0.000431561,2.89E-06,-5,-0.000896106,5.13E-06,-5,-0.001353726,3.59E-06,-5,-0.00180447,0.000917474,-5,-0.002252746,1.37E-06,-5,-0.002702909,1.88E-06,-5,-0.003150504,1.33E-06,-5,-0.003599846,8.04E-05,-5,-0.00403389,4.59E-07,-5,-0.004469731,4.86E-07,-5,-0.004907292,3.40E-07,-5,-0.005333989,2.43E-06,-5,-0.005758259,4.32E-07,-5,-0.00618835,3.74E-07,-5,-0.006624115,3.55E-07,-5,-0.007040961,1.28E-06,-5,-0.007471582,3.11E-07,-5,-0.007891529,3.72E-07,-5,-0.008300947,4.89E-07,-5,-0.008711914,1.29E-06
-4.5,-0.000393822,3.77E-06,-4.5,-0.000817357,5.96E-06,-4.5,-0.00123439,4.26E-06,-4.5,-0.00164097,0.001209731,-4.5,-0.00205303,1.50E-06,-4.5,-0.002458644,2.47E-06,-4.5,-0.002861788,1.68E-06,-4.5,-0.003274089,0.000130768,-4.5,-0.003668358,5.84E-07,-4.5,-0.004067858,6.41E-07,-4.5,-0.004464835,3.57E-07,-4.5,-0.004844164,1.16E-05,-4.5,-0.005228674,6.66E-07,-4.5,-0.00562569,4.93E-07,-4.5,-0.006012666,3.85E-07,-4.5,-0.006389747,5.10E-06,-4.5,-0.006779042,3.62E-07,-4.5,-0.007165712,3.74E-07,-4.5,-0.007531701,4.66E-07,-4.5,-0.007902485,1.25E-06
-4,-0.000352187,3.14E-06,-4,-0.000738445,5.46E-06,-4,-0.001111285,3.84E-06,-4,-0.001481659,0.001154152,-4,-0.001853118,1.27E-06,-4,-0.002214984,2.13E-06,-4,-0.002581475,1.53E-06,-4,-0.002952382,0.000121647,-4,-0.003306817,6.94E-07,-4,-0.003662262,6.60E-07,-4,-0.004015232,4.86E-07,-4,-0.004362334,2.19E-05,-4,-0.004707006,6.89E-07,-4,-0.005055934,8.30E-07,-4,-0.005408973,5.14E-07,-4,-0.005746212,9.09E-06,-4,-0.00608756,4.05E-07,-4,-0.006432872,4.41E-07,-4,-0.006762675,4.09E-07,-4,-0.007090047,8.16E-07
-3.5,-0.000314676,3.15E-06,-3.5,-0.000659527,5.54E-06,-3.5,-0.000988912,4.53E-06,-3.5,-0.001322307,0.001147042,-3.5,-0.001653122,1.11E-06,-3.5,-0.001975127,2.17E-06,-3.5,-0.002300946,1.55E-06,-3.5,-0.002630433,0.000133496,-3.5,-0.002938865,6.53E-07,-3.5,-0.003257157,9.12E-07,-3.5,-0.003572923,6.39E-07,-3.5,-0.00387416,3.84E-05,-3.5,-0.004179016,9.60E-07,-3.5,-0.004493251,1.20E-06,-3.5,-0.004799005,8.42E-07,-3.5,-0.005096423,1.61E-05,-3.5,-0.005402929,4.16E-07,-3.5,-0.005701099,5.27E-07,-3.5,-0.005991078,3.55E-07,-3.5,-0.006278626,2.00E-06
-3,-0.000277141,3.21E-06,-3,-0.000580559,5.28E-06,-3,-0.00087007,4.93E-06,-3,-0.00116276,0.001177193,-3,-0.001450147,1.13E-06,-3,-0.00173508,1.98E-06,-3,-0.002020243,1.64E-06,-3,-0.002302874,0.000137267,-3,-0.002577616,7.17E-07,-3,-0.002855242,9.99E-07,-3,-0.003130341,9.79E-07,-3,-0.003392475,5.54E-05,-3,-0.003657443,1.07E-06,-3,-0.003925103,1.57E-06,-3,-0.004195308,1.16E-06,-3,-0.004452836,2.30E-05,-3,-0.00471291,4.08E-07,-3,-0.004975382,6.81E-07,-3,-0.005225468,4.19E-07,-3,-0.005473122,5.62E-06
-2.5,-0.000239585,3.21E-06,-2.5,-0.000501546,5.44E-06,-2.5,-0.000751162,5.19E-06,-2.5,-0.001003172,0.001135888,-2.5,-0.001247911,1.05E-06,-2.5,-0.001494911,1.95E-06,-2.5,-0.001734708,1.31E-06,-2.5,-0.001981332,0.00013434,-2.5,-0.002216171,8.09E-07,-2.5,-0.00245311,1.27E-06,-2.5,-0.002683037,1.32E-06,-2.5,-0.00291053,6.88E-05,-2.5,-0.003133396,1.05E-06,-2.5,-0.003362561,1.97E-06,-2.5,-0.003589145,1.22E-06,-2.5,-0.003804667,2.70E-05,-2.5,-0.00402829,4.24E-07,-2.5,-0.004245141,8.29E-07,-2.5,-0.004455363,5.87E-07,-2.5,-0.004663161,1.06E-05
-2,-0.000202011,3.39E-06,-2,-0.000422496,5.45E-06,-2,-0.000632196,5.63E-06,-2,-0.000843508,0.001219887,-2,-0.001048324,1.02E-06,-2,-0.001252651,1.73E-06,-2,-0.001454501,1.28E-06,-2,-0.001659639,0.000124662,-2,-0.001854557,7.87E-07,-2,-0.002047041,1.54E-06,-2,-0.002240794,1.56E-06,-2,-0.00242471,7.81E-05,-2,-0.002609895,1.06E-06,-2,-0.002799762,2.03E-06,-2,-0.002983493,1.39E-06,-2,-0.003161233,2.70E-05,-2,-0.003341667,3.96E-07,-2,-0.003519513,8.24E-07,-2,-0.003689807,7.95E-07,-2,-0.003857667,1.56E-05
